"","Metabolite","beta","Std..Error","z.value","pval","lci","uci","OR","Pval","LCI","UCI"
"1","XXL.VLDL.P",1.091716415,0.03069816,2.858514938,0.004256291,1.028303534,1.1598799,1.091716415,0.004256291,1.028303534,1.1598799
"2","XXL.VLDL.L",1.091027564,0.030688917,2.838808944,0.004528226,1.027669128,1.159122116,1.091027564,0.004528226,1.027669128,1.159122116
"3","XXL.VLDL.PL",1.090462926,0.030688489,2.821980238,0.004772812,1.027142327,1.158527389,1.090462926,0.004772812,1.027142327,1.158527389
"4","XXL.VLDL.C",1.077180317,0.030522354,2.435815044,0.01485828,1.014871669,1.143933357,1.077180317,0.01485828,1.014871669,1.143933357
"5","XXL.VLDL.CE",1.062742714,0.030427538,1.999932827,0.045507518,1.001385053,1.128308361,1.062742714,0.045507518,1.001385053,1.128308361
"6","XXL.VLDL.FC",1.09118216,0.030665713,2.845577359,0.004433099,1.027861064,1.159232938,1.09118216,0.004433099,1.027861064,1.159232938
"7","XXL.VLDL.TG",1.094248477,0.030732255,2.930725544,0.003381714,1.030636146,1.162667091,1.094248477,0.003381714,1.030636146,1.162667091
"8","XL.VLDL.P",1.090105599,0.030623277,2.817287375,0.004843117,1.026902845,1.157953749,1.090105599,0.004843117,1.026902845,1.157953749
"9","XL.VLDL.L",1.089460555,0.030617963,2.798444441,0.00513494,1.026302911,1.157253183,1.089460555,0.00513494,1.026302911,1.157253183
"10","XL.VLDL.PL",1.084062816,0.030592723,2.638400285,0.008329819,1.021258933,1.151454316,1.084062816,0.008329819,1.021258933,1.151454316
"11","XL.VLDL.C",1.081848906,0.030546722,2.575449089,0.010011001,1.01923224,1.148957064,1.081848906,0.010011001,1.01923224,1.148957064
"12","XL.VLDL.CE",1.080630395,0.030515467,2.541156257,0.011048653,1.018123837,1.147562871,1.080630395,0.011048653,1.018123837,1.147562871
"13","XL.VLDL.FC",1.082778623,0.030580904,2.600660117,0.009304459,1.0200643,1.150053788,1.082778623,0.009304459,1.0200643,1.150053788
"14","XL.VLDL.TG",1.092808696,0.030645489,2.896059702,0.003778805,1.0294161,1.160888576,1.092808696,0.003778805,1.0294161,1.160888576
"15","L.VLDL.P",1.085342273,0.03054057,2.68152811,0.007328676,1.022530878,1.152642544,1.085342273,0.007328676,1.022530878,1.152642544
"16","L.VLDL.L",1.084493626,0.0305346,2.656434788,0.007897172,1.021740768,1.151724983,1.084493626,0.007897172,1.021740768,1.151724983
"17","L.VLDL.PL",1.08137998,0.030512559,2.564123977,0.010343659,1.018843876,1.148360877,1.08137998,0.010343659,1.018843876,1.148360877
"18","L.VLDL.C",1.076372741,0.030467723,2.415566628,0.015710748,1.014182606,1.142902183,1.076372741,0.015710748,1.014182606,1.142902183
"19","L.VLDL.CE",1.067002481,0.030410889,2.132568266,0.032960159,1.005419002,1.132772411,1.067002481,0.032960159,1.005419002,1.132772411
"20","L.VLDL.FC",1.084067471,0.030542901,2.642844676,0.008221274,1.021332219,1.15130456,1.084067471,0.008221274,1.021332219,1.15130456
"21","L.VLDL.TG",1.08839981,0.030567826,2.771167104,0.005585575,1.025370991,1.155968162,1.08839981,0.005585575,1.025370991,1.155968162
"22","M.VLDL.P",1.069201221,0.03039119,2.201685642,0.027687522,1.007531908,1.135063752,1.069201221,0.027687522,1.007531908,1.135063752
"23","M.VLDL.L",1.067422956,0.030383616,2.147449789,0.031757491,1.005865599,1.133152093,1.067422956,0.031757491,1.005865599,1.133152093
"24","M.VLDL.PL",1.061824896,0.030356835,1.976129215,0.048140144,1.000628794,1.127132578,1.061824896,0.048140144,1.000628794,1.127132578
"25","M.VLDL.C",1.046132443,0.03032566,1.487188624,0.136965,0.985859988,1.110354259,1.046132443,0.136965,0.985859988,1.110354259
"26","M.VLDL.CE",1.025432515,0.030317074,0.828394243,0.407447266,0.966330113,1.088315778,1.025432515,0.407447266,0.966330113,1.088315778
"27","M.VLDL.FC",1.065740477,0.030367062,2.09667442,0.036022406,1.004309275,1.131325132,1.065740477,0.036022406,1.004309275,1.131325132
"28","M.VLDL.TG",1.077499709,0.030431524,2.452827321,0.014173836,1.015301171,1.14399474,1.077499709,0.014173836,1.015301171,1.14399474
"29","S.VLDL.P",1.026816246,0.030224362,0.875551713,0.381273786,0.967802151,1.089574099,1.026816246,0.381273786,0.967802151,1.089574099
"30","S.VLDL.L",1.021019501,0.030219953,0.68834123,0.491237924,0.962338335,1.083403209,1.021019501,0.491237924,0.962338335,1.083403209
"31","S.VLDL.PL",1.013523492,0.030215997,0.444561394,0.656636752,0.955272394,1.075432427,1.013523492,0.656636752,0.955272394,1.075432427
"32","S.VLDL.C",0.972694074,0.030241184,-0.915495287,0.359931676,0.9166979,1.032104059,0.972694074,0.359931676,0.9166979,1.032104059
"33","S.VLDL.CE",0.953057128,0.030268412,-1.588468895,0.112180349,0.898125471,1.011299403,0.953057128,0.112180349,0.898125471,1.011299403
"34","S.VLDL.FC",1.008411094,0.030202999,0.277320728,0.781533845,0.950471677,1.069973036,1.008411094,0.781533845,0.950471677,1.069973036
"35","S.VLDL.TG",1.053385678,0.030262608,1.718603778,0.085686543,0.992819322,1.117913019,1.053385678,0.085686543,0.992819322,1.117913019
"36","XS.VLDL.P",0.94109416,0.030176194,-2.011919772,0.044228395,0.886999878,0.998413032,0.94109416,0.044228395,0.886999878,0.998413032
"37","XS.VLDL.L",0.934793105,0.030189268,-2.233576918,0.025510924,0.8810325,0.991746489,0.934793105,0.025510924,0.8810325,0.991746489
"38","XS.VLDL.PL",0.912201532,0.030262578,-3.036566646,0.002392892,0.859592157,0.967887387,0.912201532,0.002392892,0.859592157,0.967887387
"39","XS.VLDL.C",0.924307813,0.030236555,-2.603144817,0.009237293,0.87105617,0.980697247,0.924307813,0.009237293,0.87105617,0.980697247
"40","XS.VLDL.CE",0.930411218,0.030256459,-2.383908198,0.017129875,0.876779013,0.987216904,0.930411218,0.017129875,0.876779013,0.987216904
"41","XS.VLDL.FC",0.916368161,0.030186632,-2.893236717,0.003812938,0.863643261,0.972163361,0.916368161,0.003812938,0.863643261,0.972163361
"42","XS.VLDL.TG",1.01046769,0.030090028,0.346070898,0.729289434,0.952627387,1.071928972,1.01046769,0.729289434,0.952627387,1.071928972
"43","IDL.P",0.916011286,0.030387214,-2.88695741,0.003889869,0.862980082,0.972176338,0.916011286,0.003889869,0.862980082,0.972176338
"44","IDL.L",0.914663002,0.03039584,-2.934598443,0.003339796,0.861693239,0.970759368,0.914663002,0.003339796,0.861693239,0.970759368
"45","IDL.PL",0.905559101,0.030437367,-3.259241673,0.001117105,0.853023158,0.961148338,0.905559101,0.001117105,0.853023158,0.961148338
"46","IDL.C",0.914212344,0.030447447,-2.945810563,0.003221096,0.861172251,0.970367713,0.914212344,0.003221096,0.861172251,0.970367713
"47","IDL.CE",0.92137787,0.030466186,-2.687735369,0.007193838,0.867896766,0.978018618,0.92137787,0.007193838,0.867896766,0.978018618
"48","IDL.FC",0.901479847,0.030394496,-3.412380735,0.000643981,0.849247932,0.956733008,0.901479847,0.000643981,0.849247932,0.956733008
"49","IDL.TG",0.962483077,0.029991978,-1.274967415,0.202320776,0.907496797,1.020760339,0.962483077,0.202320776,0.907496797,1.020760339
"50","L.LDL.P",0.912087852,0.0304161,-3.025337415,0.002483559,0.859228172,0.968057657,0.912087852,0.002483559,0.859228172,0.968057657
"51","L.LDL.L",0.911148437,0.03042244,-3.058579658,0.002223889,0.858331438,0.967071183,0.911148437,0.002223889,0.858331438,0.967071183
"52","L.LDL.PL",0.908177897,0.03047275,-3.160692632,0.001573945,0.855441121,0.964005354,0.908177897,0.001573945,0.855441121,0.964005354
"53","L.LDL.C",0.911338891,0.030445398,-3.049408362,0.002292926,0.858472927,0.967317113,0.911338891,0.002292926,0.858472927,0.967317113
"54","L.LDL.CE",0.914631765,0.030452589,-2.930251261,0.00338688,0.861566749,0.970832305,0.914631765,0.00338688,0.861566749,0.970832305
"55","L.LDL.FC",0.902270817,0.030430457,-3.379527359,0.000726106,0.849937446,0.957644381,0.902270817,0.000726106,0.849937446,0.957644381
"56","L.LDL.TG",0.943280243,0.030035033,-1.944125006,0.051880378,0.889298448,1.00045581,0.943280243,0.051880378,0.889298448,1.00045581
"57","M.LDL.P",0.913342663,0.030418689,-2.979883651,0.002883579,0.860398891,0.96938769,0.913342663,0.002883579,0.860398891,0.96938769
"58","M.LDL.L",0.912909119,0.030430757,-2.994304186,0.002750716,0.859969283,0.968949419,0.912909119,0.002750716,0.859969283,0.968949419
"59","M.LDL.PL",0.928515755,0.030495751,-2.432074223,0.015012631,0.874542889,0.985630676,0.928515755,0.015012631,0.874542889,0.985630676
"60","M.LDL.C",0.910066303,0.03042668,-3.097210073,0.001953514,0.857299881,0.965924822,0.910066303,0.001953514,0.857299881,0.965924822
"61","M.LDL.CE",0.909630425,0.030417228,-3.113922433,0.00184618,0.856907664,0.965446545,0.909630425,0.00184618,0.856907664,0.965446545
"62","M.LDL.FC",0.912234754,0.030504421,-3.011298435,0.00260133,0.859175714,0.968340659,0.912234754,0.00260133,0.859175714,0.968340659
"63","M.LDL.TG",0.944573516,0.030109457,-1.89381558,0.058249493,0.890380435,1.001965828,0.944573516,0.058249493,0.890380435,1.001965828
"64","S.LDL.P",0.916362005,0.0304826,-2.865365511,0.004165282,0.863128926,0.972710971,0.916362005,0.004165282,0.863128926,0.972710971
"65","S.LDL.L",0.914857938,0.030484912,-2.919033734,0.003511182,0.861708095,0.971115985,0.914857938,0.003511182,0.861708095,0.971115985
"66","S.LDL.PL",0.929611847,0.030669148,-2.379855771,0.017319415,0.875237888,0.987094518,0.929611847,0.017319415,0.875237888,0.987094518
"67","S.LDL.C",0.908829086,0.03044169,-3.140371876,0.001687335,0.856105418,0.964636005,0.908829086,0.001687335,0.856105418,0.964636005
"68","S.LDL.CE",0.908671313,0.030419165,-3.148404718,0.001641642,0.855997534,0.964428681,0.908671313,0.001641642,0.855997534,0.964428681
"69","S.LDL.FC",0.912831816,0.03057731,-2.982722388,0.00285697,0.8596085,0.9691064,0.912831816,0.00285697,0.8596085,0.9691064
"70","S.LDL.TG",0.996758887,0.030239702,-0.107354772,0.914507534,0.939403054,1.057668515,0.996758887,0.914507534,0.939403054,1.057668515
"71","XL.HDL.P",0.994150276,0.030176451,-0.194419825,0.845847168,0.937065418,1.054780139,0.994150276,0.845847168,0.937065418,1.054780139
"72","XL.HDL.L",0.994165834,0.030180372,-0.193876048,0.846272939,0.937072704,1.054804235,0.994165834,0.846272939,0.937072704,1.054804235
"73","XL.HDL.PL",0.977772145,0.030125439,-0.746167286,0.455566367,0.92170007,1.037274894,0.977772145,0.455566367,0.92170007,1.037274894
"74","XL.HDL.C",1.007154946,0.03023461,0.235804941,0.813584034,0.949224036,1.068704559,1.007154946,0.813584034,0.949224036,1.068704559
"75","XL.HDL.CE",1.010739159,0.030248639,0.353136655,0.723985994,0.952577142,1.072537519,1.010739159,0.723985994,0.952577142,1.072537519
"76","XL.HDL.FC",0.998044704,0.030193154,-0.064822967,0.948314955,0.940708472,1.058947796,0.998044704,0.948314955,0.940708472,1.058947796
"77","XL.HDL.TG",1.068506279,0.030446155,2.176356032,0.029528649,1.006786598,1.134475983,1.068506279,0.029528649,1.006786598,1.134475983
"78","L.HDL.P",0.950086104,0.030208943,-1.694950485,0.090084814,0.895420672,1.008024634,0.950086104,0.090084814,0.895420672,1.008024634
"79","L.HDL.L",0.95103148,0.030207885,-1.662086402,0.096495452,0.896315456,1.009027562,0.95103148,0.096495452,0.896315456,1.009027562
"80","L.HDL.PL",0.937609023,0.030233308,-2.130836528,0.033102612,0.883603226,0.994814138,0.937609023,0.033102612,0.883603226,0.994814138
"81","L.HDL.C",0.963291408,0.030188362,-1.238865127,0.21539545,0.907922316,1.022016438,0.963291408,0.21539545,0.907922316,1.022016438
"82","L.HDL.CE",0.964206972,0.030192228,-1.207241351,0.22733921,0.908779047,1.022996634,0.964206972,0.22733921,0.908779047,1.022996634
"83","L.HDL.FC",0.960464531,0.030176852,-1.336727422,0.181311627,0.905276302,1.018990694,0.960464531,0.181311627,0.905276302,1.018990694
"84","L.HDL.TG",0.97716738,0.030257534,-0.763357669,0.445250118,0.92088553,1.03689637,0.97716738,0.445250118,0.92088553,1.03689637
"85","M.HDL.P",0.918586627,0.03038755,-2.794534817,0.005197444,0.865373389,0.974882532,0.918586627,0.005197444,0.865373389,0.974882532
"86","M.HDL.L",0.91751945,0.030386076,-2.832925891,0.004612408,0.8643729,0.973748824,0.91751945,0.004612408,0.8643729,0.973748824
"87","M.HDL.PL",0.917159503,0.030400952,-2.844446568,0.004448865,0.864002257,0.973390045,0.917159503,0.004448865,0.864002257,0.973390045
"88","M.HDL.C",0.919627623,0.030349316,-2.760735987,0.005767128,0.866435535,0.975927754,0.919627623,0.005767128,0.866435535,0.975927754
"89","M.HDL.CE",0.924697313,0.030329987,-2.581235027,0.009844753,0.871247818,0.981274219,0.924697313,0.009844753,0.871247818,0.981274219
"90","M.HDL.FC",0.904468699,0.0304153,-3.301219448,0.000962656,0.852030465,0.959947872,0.904468699,0.000962656,0.852030465,0.959947872
"91","M.HDL.TG",0.995345068,0.030165125,-0.154675313,0.877077293,0.93820693,1.056006749,0.995345068,0.877077293,0.93820693,1.056006749
"92","S.HDL.P",0.909552512,0.031005986,-3.057556201,0.002231498,0.855360796,0.965956896,0.909552512,0.002231498,0.855360796,0.965956896
"93","S.HDL.L",0.90438731,0.03109014,-3.232457955,0.001227302,0.850370722,0.960627613,0.90438731,0.001227302,0.850370722,0.960627613
"94","S.HDL.PL",0.975343959,0.030037966,-0.83111791,0.405907023,0.919428077,1.034413768,0.975343959,0.405907023,0.919428077,1.034413768
"95","S.HDL.C",0.873262319,0.03085948,-4.391496256,1.13e-05,0.821731089,0.927434879,0.873262319,1.13e-05,0.821731089,0.927434879
"96","S.HDL.CE",0.877450671,0.030742075,-4.252625773,2.11e-05,0.82590485,0.931717264,0.877450671,2.11e-05,0.82590485,0.931717264
"97","S.HDL.FC",0.951160236,0.030181725,-1.659041653,0.097107399,0.896245956,1.008909052,0.951160236,0.097107399,0.896245956,1.008909052
"98","S.HDL.TG",1.042053998,0.030166355,1.365553225,0.172079236,0.982284506,1.105626926,1.042053998,0.172079236,0.982284506,1.105626926
"99","XXL.VLDL.PL..",1.031678297,0.030577445,1.019931212,0.307761085,0.972235588,1.097243993,1.031678297,0.307761085,0.972235588,1.097243993
"100","XXL.VLDL.C..",0.960443383,0.030603551,-1.318809174,0.187232917,0.90421281,1.019771652,0.960443383,0.187232917,0.90421281,1.019771652
"101","XXL.VLDL.CE..",0.945765385,0.030887632,-1.805277539,0.071031263,0.889715898,1.004556017,0.945765385,0.071031263,0.889715898,1.004556017
"102","XXL.VLDL.FC..",1.054220816,0.030989125,1.70388584,0.088402417,0.992621932,1.121104222,1.054220816,0.088402417,0.992621932,1.121104222
"103","XXL.VLDL.TG..",1.02910366,0.03042748,0.942838188,0.345763675,0.969492094,1.092646953,1.02910366,0.345763675,0.969492094,1.092646953
"104","XL.VLDL.PL..",0.943782934,0.030817811,-1.877455899,0.060455636,0.888157102,1.002299731,0.943782934,0.060455636,0.888157102,1.002299731
"105","XL.VLDL.C..",0.973103937,0.030107187,-0.905577178,0.365159693,0.917125257,1.032253605,0.973103937,0.365159693,0.917125257,1.032253605
"106","XL.VLDL.CE..",0.990306685,0.030347895,-0.320964645,0.748237184,0.933076782,1.051211371,0.990306685,0.748237184,0.933076782,1.051211371
"107","XL.VLDL.FC..",0.963049975,0.030477467,-1.235338011,0.216704733,0.907001096,1.022178019,0.963049975,0.216704733,0.907001096,1.022178019
"108","XL.VLDL.TG..",1.053802603,0.030346599,1.726887077,0.084187946,0.993120742,1.118704286,1.053802603,0.084187946,0.993120742,1.118704286
"109","L.VLDL.PL..",0.93392511,0.030452434,-2.244780386,0.024782235,0.879502701,0.991101725,0.93392511,0.024782235,0.879502701,0.991101725
"110","L.VLDL.C..",0.964874092,0.029922921,-1.194992302,0.232090038,0.909731062,1.023036355,0.964874092,0.232090038,0.909731062,1.023036355
"111","L.VLDL.CE..",0.939290989,0.029938707,-2.091939175,0.036443957,0.885684563,0.996014902,0.939290989,0.036443957,0.885684563,0.996014902
"112","L.VLDL.FC..",1.024897415,0.029908681,0.822253741,0.410932498,0.966474233,1.086768099,1.024897415,0.410932498,0.966474233,1.086768099
"113","L.VLDL.TG..",1.047188677,0.030013131,1.536298327,0.12446523,0.987514943,1.110898002,1.047188677,0.12446523,0.987514943,1.110898002
"114","M.VLDL.PL..",0.873228492,0.03023108,-4.484061684,7.32e-06,0.822888292,0.926445268,0.873228492,7.32e-06,0.822888292,0.926445268
