"","N","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"XXL.VLDL.P",4770,-0.0574704161806168,0.0293900744529949,-1.95543622295113,0.0505316041772556,-0.115190678012458,0.000249845651224809
"XXL.VLDL.L",4770,-0.0573542592714158,0.0293812907069846,-1.95206738340401,0.0509302050276863,-0.115055264426009,0.000346745883177797
"XXL.VLDL.PL",4770,-0.0537977569734908,0.0290549270332682,-1.85158809422897,0.0640849939749472,-0.110868173317108,0.00327265937012594
"XXL.VLDL.C",4770,-0.0445271223207901,0.0294469065885041,-1.51211544706612,0.130504495837576,-0.102430318733236,0.013376074091656
"XXL.VLDL.CE",4770,-0.0207467681735028,0.0291616729438992,-0.711439573902881,0.476811883161954,-0.0781135154023982,0.0366199790553926
"XXL.VLDL.FC",4770,-0.0594500751572238,0.0293414424531241,-2.02614698483898,0.0427497245087324,-0.117112553841482,-0.00178759647296521
"XXL.VLDL.TG",4770,-0.0536713369501577,0.0298453800960942,-1.79831306478089,0.0721274105244563,-0.112448515459651,0.00510584155933536
"XL.VLDL.P",4859,-0.0656756929966947,0.0288563653099201,-2.2759516762188,0.0228489020514769,-0.122300717086495,-0.00905066890689393
"XL.VLDL.L",4859,-0.064714115338509,0.028847730230158,-2.24330007325344,0.0248774706600191,-0.121321267353631,-0.00810696332338729
"XL.VLDL.PL",4859,-0.0479020203420033,0.02876201394152,-1.66546127261462,0.0958207638479955,-0.104354979063207,0.00855093837920048
"XL.VLDL.C",4859,-0.0563385784654084,0.0287964848691814,-1.95643943076202,0.050413411006011,-0.112845162369236,0.0001680054384193
"XL.VLDL.CE",4859,-0.0612145771449852,0.0288450533191548,-2.12218630583481,0.033822096059375,-0.117822283145153,-0.00460687114481702
"XL.VLDL.FC",4859,-0.04458013623687,0.0287366133661698,-1.55133577046181,0.120821238815286,-0.100995068951577,0.011834796477837
"XL.VLDL.TG",4859,-0.068363570166924,0.0288938240749352,-2.36602707864578,0.0179801292730548,-0.125067227039885,-0.0116599132939629
"L.VLDL.P",4989,-0.0697122462751909,0.0283709704048,-2.45716819976649,0.0140037103767569,-0.12536266245105,-0.0140618300993314
"L.VLDL.L",4989,-0.0685818675116052,0.0283710614010306,-2.41731765132742,0.0156353658271426,-0.124232968701744,-0.0129307663214668
"L.VLDL.PL",4989,-0.0634435860685217,0.0283670262172874,-2.23652580226609,0.0253173490845875,-0.119088712576543,-0.00779845956049999
"L.VLDL.C",4989,-0.0581058472672259,0.0284804684386624,-2.04019984405688,0.0413304252859418,-0.113986540299065,-0.00222515423538713
"L.VLDL.CE",4989,-0.0520057812123958,0.0287216552444742,-1.81068189732558,0.0701901066445826,-0.108392419443909,0.00438085701911724
"L.VLDL.FC",4989,-0.059368698063616,0.0283874914708947,-2.09136823958136,0.0364950669712264,-0.115075505669678,-0.00366189045755355
"L.VLDL.TG",4989,-0.0733378404362783,0.0283702062882375,-2.58503021413294,0.00973704643130596,-0.128985708036023,-0.0176899728365332
"M.VLDL.P",5040,-0.0638275298002114,0.0282773572151289,-2.25719572429005,0.0239958474790514,-0.119298063584559,-0.00835699601586427
"M.VLDL.L",5040,-0.0624196413355158,0.0282772140225071,-2.2074183576159,0.027284845019235,-0.117889993657272,-0.00694928901375964
"M.VLDL.PL",5040,-0.0569989430942538,0.0282770598295949,-2.01573089415041,0.0438281232384176,-0.11246950912732,-0.00152837706118759
"M.VLDL.C",5040,-0.0453577971882493,0.028286748499258,-1.60349985751947,0.108824340562187,-0.100848924153153,0.010133329776654
"M.VLDL.CE",5040,-0.0287208747027173,0.0283087794800276,-1.01455715259573,0.310316972719782,-0.0842572337453165,0.0268154843398818
"M.VLDL.FC",5040,-0.0599532445343042,0.0282765789454165,-2.12024391812159,0.033985480457823,-0.115429498926437,-0.00447699014217143
"M.VLDL.TG",5040,-0.0706939159403434,0.0282743879308775,-2.50028103572636,0.0124094819545595,-0.126159045287123,-0.0152287865935634
"S.VLDL.P",5040,-0.0311797882135259,0.0283002155007745,-1.10175091114315,0.270569976855845,-0.0866967087947276,0.0243371323676759
"S.VLDL.L",5040,-0.0261448839879396,0.0283087523408754,-0.9235618607673,0.355714478684038,-0.0816784694097312,0.029388701433852
"S.VLDL.PL",5040,-0.0175534225035628,0.0283097923195386,-0.620047731379786,0.535226362593656,-0.0730887041082401,0.0379818591011145
"S.VLDL.C",5040,0.0176055331624124,0.0283913744082551,0.620101475513402,0.535190980816804,-0.0380887088276007,0.0732997751524256
"S.VLDL.CE",5040,0.0364224175348494,0.0284995222290414,1.27800098689846,0.20124907829199,-0.0194939694722855,0.0923388045419843
"S.VLDL.FC",5040,-0.0156441820131264,0.028326206807652,-0.552286514017131,0.580752068793881,-0.0712112057234821,0.0399228416972293
"S.VLDL.TG",5040,-0.0538955415753117,0.0282649972556864,-1.90679450939868,0.0565472026364738,-0.109343863818558,0.00155278066793461
"XS.VLDL.P",5040,0.0545946225560513,0.028423396136457,1.92076352501825,0.0547615268444039,-0.00115823072039768,0.1103474758325
"XS.VLDL.L",5040,0.0618233720891103,0.0284342631750278,2.17425616793918,0.0296859022415332,0.00604942299759725,0.117597321180623
"XS.VLDL.PL",5040,0.092393431257999,0.0284290350085971,3.24996719832589,0.00115418320422326,0.036618620344137,0.148168242171861
"XS.VLDL.C",5040,0.0724783372463856,0.0284762443873358,2.54522107130879,0.0109208573917821,0.0166192373340484,0.128337437158723
"XS.VLDL.CE",5040,0.0639364783194286,0.0284673841270303,2.24595551295209,0.0247068575633195,0.00809490018609751,0.11977805645276
