,Estimate,Std. Error,z value,Pr(>|z|),2.50%,97.50%,Metabolite
M.VLDL.PL..,0.136630158,0.030464573,4.484886715,7.30E-06,0.07700922,0.196458112,M_VLDL_PL_.
S.HDL.C,0.134199531,0.031273093,4.29121387,1.78E-05,0.073298813,0.195934488,S_HDL_C
S.HDL.CE,0.130257389,0.031084691,4.190403274,2.78E-05,0.069632933,0.191532992,S_HDL_CE
Tyr,-0.122962044,0.030526416,-4.028053699,5.62E-05,-0.182925184,-0.063236942,Tyr
Ile,-0.116390191,0.030651505,-3.797209637,0.000146334,-0.176579082,-0.056402799,Ile
SFA.FA,-0.114497248,0.030812296,-3.715959586,0.000202434,-0.175130998,-0.05430372,SFA.FA
Leu,-0.110799842,0.030620225,-3.618518192,0.000296295,-0.17094396,-0.050887906,Leu
Alb,0.107928883,0.030916992,3.490924399,0.000481352,0.047507355,0.168740799,Alb
XS.VLDL.PL..,0.11203962,0.032381684,3.459968923,0.000540238,0.049426347,0.176330668,XS_VLDL_PL_.
IDL.FC,0.105101776,0.030553649,3.439909146,0.000581909,0.045312519,0.165109663,IDL_FC
S.VLDL.TG..,-0.104109766,0.030404983,-3.424102089,0.000616834,-0.163804126,-0.044590644,S_VLDL_TG_.
L.LDL.FC,0.104395991,0.030590281,3.412717615,0.000643186,0.044530884,0.164470998,L_LDL_FC
M.VLDL.TG..,-0.101960513,0.030347427,-3.359774532,0.000780061,-0.161594857,-0.042589319,M_VLDL_TG_.
IDL.PL,0.101441015,0.030597917,3.315291584,0.000915476,0.041563191,0.161534811,IDL_PL
M.HDL.FC,0.09911724,0.030548524,3.244583623,0.001176225,0.03932517,0.159104136,M_HDL_FC
S.VLDL.C..,0.098994568,0.030559003,3.239456718,0.001197576,0.03923043,0.159052211,S_VLDL_C_.
VLDL.D,-0.098379566,0.030372184,-3.239133707,0.001198934,-0.158009454,-0.03892904,VLDL_D
L.LDL.PL,0.098223765,0.030614302,3.208427335,0.00133463,0.038302881,0.15833678,L_LDL_PL
M.VLDL.CE..,0.097555756,0.030449627,3.203840726,0.001356075,0.037988463,0.157381812,M_VLDL_CE_.
FAw6.FA,0.097439156,0.030633652,3.180788082,0.00146875,0.037594244,0.157717007,FAw6.FA
M.LDL.PL..,-0.097778035,0.03103406,-3.150668501,0.001628973,-0.158907486,-0.037201192,M_LDL_PL_.
L.LDL.L,0.09616722,0.030602843,3.14242767,0.001675531,0.036280008,0.156268946,L_LDL_L
Val,-0.096213552,0.03062992,-3.141162412,0.001682787,-0.156361788,-0.036264242,Val
S.LDL.CE,0.095880177,0.03058844,3.134523268,0.001721336,0.036004595,0.155936282,S_LDL_CE
S.LDL.C,0.095625423,0.030616193,3.123360957,0.001787983,0.035701936,0.155743548,S_LDL_C
S.VLDL.CE..,0.096079491,0.030781436,3.121345291,0.001800268,0.035935688,0.156639528,S_VLDL_CE_.
EstC,0.095776319,0.030715143,3.118211736,0.00181952,0.035677445,0.156107409,EstC
M.LDL.CE,0.095091123,0.030586087,3.108966629,0.001877429,0.035220783,0.15514287,M_LDL_CE
L.LDL.C,0.095161726,0.030611585,3.108683392,0.00187923,0.03524765,0.155269849,L_LDL_C
M.LDL.C,0.094557507,0.030596871,3.090430642,0.001998665,0.034673632,0.154639473,M_LDL_C
LDL.C,0.094592355,0.030836837,3.067511627,0.002158491,0.034347773,0.155267456,LDL_C
XS.VLDL.PL,0.093110644,0.030404725,3.062374147,0.002195888,0.033581004,0.152794814,XS_VLDL_PL
bOHBut,0.094868054,0.031088153,3.051582228,0.002276387,0.034048678,0.15597379,bOHBut
